	 1.314056	 0.455780	 -0.495956	 5
1462172139.354	 0	 1.264008	 0.464691	 -0.478043	 5
1462172139.364	 0	 1.226379	 0.484909	 -0.456970	 5
1462172139.373	 0	 1.187546	 0.513809	 -0.431992	 5
1462172139.383	 0	 1.173126	 0.546921	 -0.422363	 5
1462172139.393	 0	 1.156784	 0.580017	 -0.418640	 5
1462172139.403	 0	 1.156784	 0.580017	 -0.418640	 5
1462172139.412	 0	 1.140457	 0.618805	 -0.433563	 5
1462172139.421	 0	 1.130127	 0.609268	 -0.457291	 5
1462172139.431	 0	 1.099426	 0.590637	 -0.473450	 5
1462172139.441	 0	 1.082397	 0.570709	 -0.486481	 5
1462172139.450	 0	 1.082397	 0.570709	 -0.486481	 5
1462172139.460	 0	 1.091476	 0.564606	 -0.509903	 5
1462172139.470	 0	 1.081985	 0.559891	 -0.533615	 5
1462172139.479	 0	 1.024323	 0.520752	 -0.533524	 5
1462172139.489	 0	 1.011734	 0.510544	 -0.513123	 5
1462172139.499	 0	 0.984711	 0.491043	 -0.492935	 5
1462172139.508	 0	 0.984711	 0.491043	 -0.492935	 5
1462172139.518	 0	 0.944748	 0.479614	 -0.461151	 5
1462172139.527	 0	 0.915283	 0.481354	 -0.436066	 5
1462172139.537	 0	 0.895431	 0.493423	 -0.423584	 5
1462172139.546	 0	 0.881485	 0.505325	 -0.416916	 5
1462172139.556	 0	 0.877594	 0.506378	 -0.418930	 5
1462172139.566	 0	 0.877594	 0.506378	 -0.418930	 5
1462172139.575	 0	 0.893356	 0.497376	 -0.416763	 5
1462172139.585	 0	 0.918793	 0.495789	 -0.424225	 5
1462172139.595	 0	 0.934708	 0.483841	 -0.431839	 5
1462172139.604	 0	 0.938248	 0.453918	 -0.429886	 5
1462172139.614	 0	 0.956192	 0.429581	 -0.411011	 5
1462172139.624	 0	 0.956192	 0.429581	 -0.411011	 5
1462172139.633	 0	 0.977539	 0.384903	 -0.397980	 5
1462172139.643	 0	 1.047302	 0.302704	 -0.361725	 5
1462172139.652	 0	 1.077942	 0.271393	 -0.328934	 5
1462172139.662	 0	 1.086182	 0.239670	 -0.291565	 5
1462172139.671	 0	 1.106644	 0.225967	 -0.250061	 5
1462172139.681	 0	 1.106644	 0.225967	 -0.250061	 5
1462172139.691	 0	 1.128159	 0.212189	 -0.217346	 5
1462172139.700	 0	 1.153992	 0.176224	 -0.177780	 5
1462172139.710	 0	 1.180557	 0.149902	 -0.132263	 5
1462172139.719	 0	 1.262680	 0.108170	 -0.038864	 5
1462172139.729	 0	 1.262680	 0.108170	 -0.038864	 5
1462172139.739	 0	 1.289032	 0.093384	 0.003693	 5
1462172139.748	 0	 1.304428	 0.088440	 0.043152	 5
1462172139.758	 0	 1.320816	 0.085388	 0.078690	 5
1462172139.768	 0	 1.343475	 0.067688	 0.103546	 5
1462172139.777	 0	 1.348679	 0.042709	 0.131073	 5
1462172139.787	 0	 1.344193	 0.016006	 0.157471	 5
1462172139.796	 0	 1.344193	 0.016006	 0.157471	 5
1462172139.806	 0	 1.360123	 0.022766	 0.225433	 5
1462172139.816	 0	 1.378540	 0.067688	 0.242432	 5
1462172139.825	 0	 1.392960	 0.116562	 0.261337	 5
1462172139.835	 0	 1.394073	 0.142731	 0.300659	 5
1462172139.844	 0	 1.394073	 0.142731	 0.300659	 5
1462172139.854	 0	 1.414963	 0.155014	 0.340225	 5
1462172139.864	 0	 1.482742	 0.156693	 0.399139	 5
1462172139.873	 0	 1.532700	 0.168503	 0.470520	 5
1462172139.883	 0	 1.536682	 0.342697	 0.483551	 5
1462172139.892	 0	 1.536682	 0.342697	 0.483551	 5
1462172139.902	 0	 1.599457	 0.436218	 0.418839	 5
1462172139.912	 0	 1.628433	 0.482193	 0.320221	 5
1462172139.921	 0	 1.634766	 0.493042	 0.220230	 5
1462172139.931	 0	 1.612152	 0.485336	 0.132568	 5
1462172139.941	 0	 1.568802	 0.438766	 0.063187	 5
1462172139.950	 0	 1.501892	 0.392807	 0.010147	 5
1462172139.960	 0	 1.501892	 0.392807	 0.010147	 5
1462172139.970	 0	 1.430756	 0.362366	 -0.036072	 5
1462172139.979	 0	 1.266724	 0.318253	 -0.146515	 5
1462172139.989	 0	 1.237625	 0.321609	 -0.178329	 5
1462172139.998	 0	 1.235245	 0.352295	 -0.208755	 5
1462172140.008	 0	 1.235245	 0.352295	 -0.208755	 5
1462172140.018	 0	 1.243042	 0.400192	 -0.215424	 5
1462172140.027	 0	 1.241486	 0.425308	 -0.207581	 5
1462172140.037	 0	 1.213196	 0.422150	 -0.196243	 5
1462172140.046	 0	 1.188614	 0.381393	 -0.181915	 5
1462172140.056	 0	 1.052063	 0.342972	 -0.194778	 5
1462172140.065	 0	 0.991150	 0.325012	 -0.210434	 5
1462172140.075	 0	 0.991150	 0.325012	 -0.210434	 5
1462172140.085	 0	 0.965713	 0.330368	 -0.216690	 5
1462172140.094	 0	 0.976547	 0.377167	 -0.236084	 5
1462172140.104	 0	 0.987869	 0.438522	 -0.232895	 5
1462172140.114	 0	 0.994705	 0.476059	 -0.210190	 5
1462172140.123	 0	 0.994705	 0.476059	 -0.210190	 5
1462172140.133	 0	 1.000183	 0.474319	 -0.150253	 5
1462172140.142	 0	 0.997269	 0.420624	 -0.127777	 5
1462172140.152	 0	 0.998428	 0.361008	 -0.111160	 5
1462172140.162	 0	 1.002548	 0.305099	 -0.110184	 5
1462172140.171	 0	 1.002548	 0.305099	 -0.110184	 5
1462172140.181	 0	 1.031036	 0.294846	 -0.109787	 5
1462172140.191	 0	 1.070862	 0.348785	 -0.115006	 5
1462172140.200	 0	 1.080536	 0.405228	 -0.136398	 5
1462172140.210	 0	 1.053467	 0.444275	 -0.148514	 5
1462172140.219	 0	 0.991211	 0.434158	 -0.140610	 5
1462172140.229	 0	 0.991211	 0.434158	 -0.140610	 5
1462172140.239	 0	 0.954742	 0.401382	 -0.122543	 5
1462172140.248	 0	 0.924881	 0.379044	 -0.107330	 5
1462172140.258	 0	 0.909271	 0.376556	 -0.096771	 5
1462172140.268	 0	 0.902771	 0.398041	 -0.069366	 5
1462172140.277	 0	 0.904755	 0.430893	 -0.036911	 5
1462172140.287	 0	 0.904755	 0.430893	 -0.036911	 5
1462172140.297	 0	 0.901215	 0.474792	 0.052383	 5
1462172140.306	 0	 0.876984	 0.447754	 0.114777	 5
1462172140.316	 0	 0.855972	 0.406235	 0.178207	 5
1462172140.325	 0	 0.831055	 0.370468	 0.226868	 5
1462172140.335	 0	 0.804184	 0.341415	 0.255875	 5
1462172140.344	 0	 0.804184	 0.341415	 0.255875	 5
1462172140.354	 0	 0.780197	 0.318924	 0.268250	 5
1462172140.363	 0	 0.788239	 0.305283	 0.273254	 5
1462172140.373	 0	 0.781830	 0.291855	 0.255493	 5
1462172140.383	 0	 0.766617	 0.276764	 0.248352	 5
1462172140.392	 0	 0.757034	 0.264496	 0.258011	 5
