6	 -0.015793	 1.014206	 0.010910	 5
1462172135.026	 6	 -0.021317	 1.023026	 0.020050	 5
1462172135.036	 6	 -0.014420	 1.025589	 0.028732	 5
1462172135.046	 6	 0.002014	 1.025558	 0.034790	 5
1462172135.056	 6	 0.023682	 1.025467	 0.024902	 5
1462172135.066	 6	 0.052368	 1.035217	 0.004883	 5
1462172135.076	 6	 0.063599	 1.042267	 -0.011322	 5
1462172135.086	 6	 0.065582	 1.035690	 -0.020447	 5
1462172135.096	 6	 0.055099	 1.030395	 -0.031418	 5
1462172135.106	 6	 0.036972	 1.024094	 -0.024857	 5
1462172135.116	 6	 0.017868	 1.017822	 -0.014267	 5
1462172135.126	 6	 0.011307	 1.016510	 -0.009369	 5
1462172135.136	 6	 -0.011276	 1.028732	 0.001221	 5
1462172135.146	 6	 -0.028168	 1.035828	 0.009796	 5
1462172135.156	 6	 -0.024994	 1.035324	 0.006668	 5
1462172135.166	 6	 -0.011459	 1.027481	 -0.005127	 5
1462172135.176	 6	 0.004196	 1.023605	 -0.005447	 5
1462172135.186	 6	 0.014374	 1.012863	 -0.001678	 5
1462172135.196	 6	 0.017502	 1.007675	 0.005737	 5
1462172135.206	 6	 0.019928	 0.997589	 0.029236	 5
1462172135.216	 6	 0.023972	 0.998566	 0.047943	 5
1462172135.226	 6	 0.044189	 1.023239	 0.050156	 5
1462172135.236	 6	 0.083237	 1.080383	 0.016907	 5
1462172135.246	 6	 0.125809	 1.149475	 -0.022675	 5
1462172135.256	 6	 0.150726	 1.184998	 -0.050278	 5
1462172135.266	 6	 0.153732	 1.178757	 -0.045868	 5
1462172135.276	 6	 0.119843	 1.128708	 -0.022629	 5
1462172135.286	 6	 0.034332	 1.043625	 -0.005829	 5
1462172135.296	 6	 -0.063324	 0.979569	 0.026718	 5
1462172135.306	 6	 -0.175323	 0.953796	 0.083679	 5
1462172135.316	 6	 -0.279007	 0.957520	 0.160202	 5
1462172135.326	 6	 -0.349396	 1.016205	 0.240097	 5
1462172135.336	 6	 -0.375854	 1.080063	 0.294479	 5
1462172135.346	 6	 -0.364502	 1.137711	 0.336548	 5
1462172135.356	 6	 -0.322403	 1.170776	 0.376282	 5
1462172135.366	 6	 -0.264099	 1.192886	 0.408035	 5
1462172135.376	 6	 -0.212646	 1.199631	 0.427719	 5
1462172135.386	 6	 -0.165939	 1.215088	 0.431488	 5
1462172135.396	 6	 -0.131866	 1.219040	 0.422119	 5
1462172135.406	 6	 -0.115555	 1.194153	 0.385864	 5
1462172135.416	 6	 -0.124084	 1.163605	 0.317719	 5
1462172135.426	 6	 -0.143158	 1.146133	 0.244171	 5
1462172135.436	 6	 -0.144135	 1.102890	 0.189133	 5
1462172135.446	 6	 -0.138855	 1.055801	 0.141296	 5
