@RELATION bodyguard

@ATTRIBUTE feature_1 NUMERIC
@ATTRIBUTE feature_2 NUMERIC
@ATTRIBUTE feature_3 NUMERIC
@ATTRIBUTE feature_4 NUMERIC
@ATTRIBUTE feature_5 NUMERIC
@ATTRIBUTE feature_6 NUMERIC
@ATTRIBUTE feature_7 NUMERIC
@ATTRIBUTE feature_8 NUMERIC
@ATTRIBUTE feature_9 NUMERIC
@ATTRIBUTE feature_10 NUMERIC
@ATTRIBUTE feature_11 NUMERIC
@ATTRIBUTE feature_12 NUMERIC
@ATTRIBUTE feature_13 NUMERIC
@ATTRIBUTE feature_14 NUMERIC
@ATTRIBUTE feature_15 NUMERIC
@ATTRIBUTE feature_16 NUMERIC
@ATTRIBUTE feature_17 NUMERIC
@ATTRIBUTE feature_18 NUMERIC
@ATTRIBUTE feature_19 NUMERIC
@ATTRIBUTE feature_20 NUMERIC
@ATTRIBUTE feature_21 NUMERIC
@ATTRIBUTE feature_22 NUMERIC
@ATTRIBUTE feature_23 NUMERIC
@ATTRIBUTE feature_24 NUMERIC
@ATTRIBUTE feature_25 NUMERIC
@ATTRIBUTE feature_26 NUMERIC
@ATTRIBUTE feature_27 NUMERIC
@ATTRIBUTE feature_28 NUMERIC
@ATTRIBUTE feature_29 NUMERIC
@ATTRIBUTE feature_30 NUMERIC
@ATTRIBUTE feature_31 NUMERIC
@ATTRIBUTE feature_32 NUMERIC
@ATTRIBUTE feature_33 NUMERIC
@ATTRIBUTE feature_34 NUMERIC
@ATTRIBUTE feature_35 NUMERIC
@ATTRIBUTE feature_36 NUMERIC
@ATTRIBUTE feature_37 NUMERIC
@ATTRIBUTE feature_38 NUMERIC
@ATTRIBUTE feature_39 NUMERIC
@ATTRIBUTE feature_40 NUMERIC
@ATTRIBUTE class {left2right other right2left }
@DATA
9.69138, 8.26133, 8.94465, 8.9365, 8.37926, 7.83506, 7.46102, 8.21498, 7.12088, 6.27627, 7.73735, 8.86284, 7.60213, 8.47278, 7.72558, 7.10669, 7.51831, 8.10766, 8.29126, 6.98997, 11.2238, 6.56466, 7.06327, 8.89139, 9.95611, 7.59958, 8.91778, 6.75119, 10.3712, 7.334, 8.94055, 8.9299, 9.1722, 7.56762, 9.81662, 10.6339, 9.17457, 7.09365, 7.30476, 11.2303, other
4.35778, 4.78566, 4.4927, 4.05286, 5.62038, 4.44428, 2.42118, 4.78334, 4.89577, 1.46418, 3.93298, 3.92408, 5.10393, 4.19039, 4.79448, 4.89394, 5.51494, 4.30229, 4.44146, 4.67911, 15.0896, 11.8848, 18.5281, 17.8288, 13.7389, 12.0984, 9.9811, 2.87096, 16.3166, 5.71062, 6.21288, 6.39449, 8.79477, 4.76381, 18.0181, 17.025, 11.6568, 5.03835, 13.8194, 23.9592, other
14.7618, 14.4155, 14.5728, 15.1991, 5.64162, 13.5321, 7.83139, 14.7433, 14.2859, 8.28781, 14.1148, 14.164, 9.68919, 13.9534, 13.3916, 13.6919, 13.6746, 13.9593, 13.7402, 10.4591, 5.92823, 4.87525, 6.26739, 5.74827, 4.54842, 4.53444, 4.61967, 7.94812, 4.86309, 14.5278, 5.23202, 5.06547, 4.66112, 10.3441, 4.99387, 6.71849, 5.50524, 5.30251, 6.35467, 8.32629, other
16.0765, 17.4815, 14.6411, 17.6414, 9.0219, 15.7655, 11.2597, 15.7992, 11.5978, 11.4719, 15.9538, 16.7061, 9.32739, 15.6175, 15.5542, 10.9855, 13.4957, 16.4036, 15.5851, 9.42725, 11.8129, 10.2348, 11.0406, 11.3945, 10.8616, 10.4832, 11.6875, 7.98824, 11.5665, 12.4591, 11.1038, 11.4415, 12.1414, 10.4494, 10.9153, 12.7858, 12.3761, 3.2079, 12.3619, 12.7551, other
10.2146, 8.8265, 9.36649, 9.63083, 8.17661, 7.46593, 8.08601, 8.6683, 7.42336, 6.81291, 7.83641, 9.24152, 6.67023, 7.76488, 7.27021, 7.19215, 7.67309, 8.6792, 7.75101, 7.74799, 11.4855, 10.3341, 10.771, 11.0805, 10.7011, 10.3525, 10.6127, 6.90626, 10.9344, 8.54598, 10.6991, 10.4151, 11.1372, 10.5609, 10.7508, 12.3744, 11.7787, 3.7548, 11.5993, 12.0702, other
9.15209, 7.06727, 6.88371, 7.98412, 5.25998, 6.17589, 3.93683, 6.50125, 6.14739, 4.39529, 6.21287, 7.2025, 5.62356, 6.72095, 6.21116, 5.43216, 6.56304, 6.9844, 6.96793, 6.18655, 11.1171, 6.8006, 6.67024, 6.82301, 9.11091, 5.96119, 8.75289, 5.31688, 9.42692, 7.51449, 7.61641, 7.31082, 7.59682, 4.26949, 9.5643, 11.3944, 7.85542, 5.30284, 6.91693, 11.9636, other
9.57694, 5.72256, 10.1793, 7.23277, 7.5189, 4.13362, 3.07981, 7.89251, 6.03162, 2.71093, 6.94181, 5.6109, 6.9008, 6.82116, 4.26303, 4.81427, 4.70965, 5.80356, 5.83681, 4.59789, 14.5387, 12.0066, 17.7812, 17.0353, 14.7124, 12.4289, 11.3802, 3.82952, 16.2483, 6.00934, 8.77154, 9.62968, 10.4413, 4.87036, 17.3962, 14.6228, 10.5308, 9.34572, 12.6141, 22.5727, other
13.1784, 9.44466, 10.117, 11.1816, 5.7861, 7.51632, 3.5059, 9.54155, 10.4034, 4.16263, 11.2083, 5.36103, 8.76442, 10.8956, 7.69356, 9.34054, 5.33369, 6.43533, 10.0333, 8.1402, 11.3904, 10.2051, 10.7384, 10.6682, 9.99525, 10.068, 8.91696, 5.46091, 10.2816, 9.00142, 5.86876, 6.46287, 7.8471, 5.08385, 9.70466, 11.3518, 9.77687, 6.21884, 10.5256, 12.2337, other
5.91109, 3.29396, 5.57987, 4.53778, 3.81824, 2.81553, 2.84464, 4.64424, 3.35021, 2.20637, 3.72838, 3.79796, 4.02601, 3.857, 2.68028, 3.13582, 2.7171, 3.49672, 3.78761, 3.54051, 8.4023, 5.73313, 7.95192, 8.21403, 9.07646, 6.71865, 7.16954, 3.21281, 9.45271, 3.44186, 5.82198, 5.57658, 7.31327, 4.0651, 9.90285, 7.7342, 6.05889, 4.5516, 6.07584, 11.9609, other
6.70207, 4.05571, 5.51261, 5.32876, 3.30376, 3.30389, 1.93696, 5.23698, 3.59918, 1.95839, 4.4661, 4.54966, 3.7664, 4.6112, 3.42758, 3.71935, 3.4723, 4.25644, 4.54808, 3.44616, 9.94277, 8.63886, 6.90793, 7.27493, 9.49006, 8.14257, 8.88401, 4.08336, 9.68706, 4.18055, 7.15094, 7.56347, 8.76994, 3.22235, 10.1393, 10.0155, 9.2237, 4.21648, 7.22661, 10.7743, other
