@RELATION appcontest

@ATTRIBUTE acc_magx_min NUMERIC
@ATTRIBUTE acc_magx_max NUMERIC
@ATTRIBUTE acc_magx_abs_mean NUMERIC
@ATTRIBUTE acc_magy_min NUMERIC
@ATTRIBUTE acc_magy_max NUMERIC
@ATTRIBUTE acc_magy_abs_mean NUMERIC
@ATTRIBUTE acc_magz_min NUMERIC
@ATTRIBUTE acc_magz_max NUMERIC
@ATTRIBUTE acc_magz_abs_mean NUMERIC
@ATTRIBUTE acc_mag_mean NUMERIC
@ATTRIBUTE acc_magz_peakfreq NUMERIC
@ATTRIBUTE acc_magz_spectralslope NUMERIC
@ATTRIBUTE class {left2right,right2left,other}

@DATA
-1.05897,2.80044,1.13582,-3.08609,0.236877,1.20191,-13.5552,-7.5216,9.92175,10.0953,5.25,-0.561702,other
0.408659,2.80044,1.67715,-2.12783,-0.574301,1.24486,-11.3418,-8.79187,9.80036,10.0321,4.2,-0.556303,other
1.31934,4.01683,2.10683,-1.65408,-0.0956139,1.33113,-10.1525,-7.64671,9.58722,9.92268,1.05,-0.544009,other
1.67652,10.7359,4.45705,-1.61577,6.40174,2.02077,-10.1525,-1.9499,7.94605,10.0286,0.525,-0.448035,other
2.27806,10.787,6.93504,-1.59976,8.306,3.27048,-9.9704,1.09593,4.91467,9.99208,0.525,-0.267972,other
6.13044,10.787,8.56353,1.99899,8.306,4.53379,-7.02376,1.54829,1.96343,10.1283,0.51,-0.0903066,other
3.73043,10.787,8.20596,1.99899,8.3256,4.86654,-3.32521,1.54829,0.596693,9.68114,0.495,-0.011382,other
-2.84638,9.26726,5.0201,2.2182,19.0877,6.99668,-3.91388,2.27656,0.662763,9.54043,6.24,-0.0257214,other
-2.84638,7.38469,2.17339,2.2182,19.0877,8.85405,-3.91388,3.77771,0.874038,9.5467,0.495,-0.00471968,other
-3.3743,1.2945,1.23821,8.39668,10.8993,9.70441,-2.40151,3.77771,0.669531,9.85041,0.5,-0.0139669,other
-3.3743,0.932828,1.22416,8.39668,10.8993,9.69373,-0.654509,3.77771,0.547117,9.82567,0.505,-0.0115468,other
-1.9933,-0.332638,1.06795,9.66829,9.97998,9.77411,-0.654509,0.633562,0.211688,9.83752,0.495,-0.0076196,other
-1.3346,-0.902909,1.10818,9.66829,9.87598,9.7533,-0.434548,0.248547,0.131719,9.81782,0.48,-0.00123875,other
-1.33835,-0.651812,1.08244,9.55651,10.0401,9.75274,-0.961856,0.248547,0.14105,9.81579,0.485,-0.000400536,other
-1.33835,-0.603632,0.993447,9.55651,10.0401,9.75792,-0.961856,0.23927,0.30488,9.8174,0.485,-0.0139212,other
-4.57782,3.05766,0.988516,9.12406,13.4605,9.96241,-3.29454,4.52141,0.656301,10.0691,0.49,-0.0112688,other
-10.5279,5.91302,1.51321,3.53725,19.3403,9.97526,-9.72589,10.648,1.57439,10.4675,5.82,0.00179893,other
-11.0862,5.91302,2.04807,3.24352,19.3403,9.65391,-9.72589,14.8261,2.92798,10.7203,0.47,-0.0714341,other
-11.0862,3.63227,1.80651,1.25874,19.0068,9.42306,-9.72589,14.8261,3.08199,10.4986,0.48,-0.0624213,other
-11.0862,4.39886,1.88306,1.25874,19.084,10.2265,-7.11355,20.247,3.14438,11.3769,1.94,-0.0643097,other
-9.84411,5.1376,2.07034,1.0105,19.1804,9.85226,-10.0463,20.2713,2.83562,10.9582,2,-0.0203368,other
-6.1903,5.1376,2.098,1.0105,19.1992,9.9229,-10.0463,20.2713,2.86919,11.0171,1.98,-0.0198753,other
-5.61913,3.56268,2.08079,1.02456,19.1992,9.93908,-5.97228,20.2386,2.97563,11.0506,1.92,-0.0270636,other
-5.61913,3.56268,2.00402,1.21265,19.1422,9.85176,-5.97228,20.2386,2.60148,10.7979,4.75,-0.00184354,other
-5.91511,3.56268,1.95863,0.368108,19.1422,10.0845,-7.56261,20.2453,3.0145,11.168,1.92,-0.0188925,other
-5.91511,3.37774,2.04409,0.368108,19.1609,10.0095,-7.56261,20.2453,3.14609,11.1759,1.96,-0.0260617,other
-7.51966,4.23979,2.10228,1.57911,19.1609,10.1433,-7.22862,20.2085,3.38594,11.4562,1.96,-0.032916,other
-7.51966,4.23979,2.16547,0.834675,19.1178,10.202,-10.1848,20.251,3.44577,11.5542,1.96,-0.0307958,other
-7.51966,4.23979,2.32585,0.834675,19.1178,10.0397,-10.1848,20.251,3.53677,11.481,1.98,-0.04229,other
-6.59401,6.46309,2.37163,0.834675,19.1178,9.529,-10.1848,20.251,3.49482,10.9401,4.85,-0.0624885,other
-12.1262,6.46309,2.50633,4.40544,19.4283,9.54414,-17.1088,20.2419,3.54666,10.957,1.88,-0.101923,other
-12.1262,4.18981,2.60459,3.46512,19.4283,9.1994,-17.1088,20.0236,3.60913,10.7059,15.2,-0.123376,other
-11.6575,3.73387,2.37209,2.83665,19.4178,9.24926,-15.3227,20.1986,3.72278,10.8216,13.92,-0.127443,other
-9.59167,6.34651,2.31979,2.52092,19.3719,9.48393,-15.3227,20.1986,3.88093,11.136,4.95,-0.122621,other
-9.59167,6.34651,2.22809,2.52092,19.3719,10.084,-15.5439,20.2175,4.29639,11.8517,1.96,-0.127494,other
-9.16102,6.34651,2.44528,2.52092,19.1736,10.3779,-15.5439,20.2175,3.70655,11.8212,1.94,-0.076976,other
-9.16102,4.18771,1.99685,5.16663,18.0364,9.71017,-5.91646,8.59675,2.77043,10.5769,1.9,-0.0501719,other
-12.04,4.18771,2.1304,5.16663,19.4262,9.7277,-9.96516,19.9986,2.67467,10.6067,1.47,-0.0682837,other
-12.04,3.77562,2.17282,3.76335,19.4262,9.26904,-12.4352,20.0387,3.16871,10.3582,1.96,-0.115682,other
-10.6342,4.0511,2.29536,3.70155,19.3951,9.37322,-15.1768,20.1053,3.60209,10.708,1.96,-0.115745,other
-8.56816,4.65937,2.25517,3.70155,19.3491,9.54646,-18.9568,20.1053,3.80615,11.0116,16.83,-0.110902,other
-8.56816,4.65937,2.02323,4.24458,19.3491,9.49902,-18.9568,20.1053,3.69669,10.852,15.84,-0.106046,other
-8.52043,4.00486,2.08975,4.24458,19.3481,9.74212,-18.9568,20.1171,3.43339,10.997,1.92,-0.0989279,other
-6.82685,3.76395,1.81708,4.7291,19.2769,9.92984,-14.124,20.1171,2.94294,10.9233,1.92,-0.0649988,other
-8.27741,3.80898,1.91672,5.79496,17.5234,10.195,-9.7217,13.5244,2.67119,11.1213,4.85,-0.0411584,other
-8.27741,3.80898,1.71369,5.17292,19.2698,9.91683,-12.7316,20.1536,3.32902,11.035,5.225,-0.0893917,other
-5.26689,5.41952,1.63577,2.27447,19.2698,9.37916,-12.7316,20.1536,3.06551,10.4057,1.94,-0.11386,other
-11.5036,5.41952,1.98019,2.27447,19.4065,9.55202,-13.8693,20.1536,3.56721,10.8961,15.84,-0.128974,other
-11.5036,5.41952,2.1019,2.27447,19.4065,9.69291,-13.8693,20.1436,3.26213,10.8815,1.96,-0.0971982,other
-5.07536,3.52153,1.95336,3.06799,19.2342,9.48232,-7.30838,20.1436,2.871,10.4341,1.94,-0.116414,other
-5.87098,2.74268,1.8503,3.06799,19.2891,9.60481,-13.8986,20.1552,3.23949,10.6989,1.94,-0.124111,other
-5.87098,2.89845,1.85591,2.77021,19.2891,9.97999,-13.8986,20.1552,3.52288,11.1547,4.32,-0.0763915,other
-5.87098,5.6347,1.99839,2.77021,19.2891,10.3564,-13.8986,20.1552,3.56839,11.6362,7.52,-0.046489,other
-7.7067,5.6347,2.13097,2.77021,19.0282,10.0719,-6.77567,16.695,2.79918,11.0898,2.82,-0.0305137,other
-7.7067,5.6347,2.04245,3.33449,19.277,9.50524,-10.4714,20.1169,2.83195,10.5033,2.85,-0.0501038,other
-9.80505,3.67596,2.02936,3.83951,19.2876,9.63499,-14.555,20.1169,3.36434,10.7991,1.98,-0.0801953,other
-9.80505,3.8259,2.40042,2.78293,19.3438,9.61368,-14.555,20.1169,3.87646,11.11,13.095,-0.110524,other
-9.80505,3.8259,2.14369,2.78293,19.3438,9.31012,-14.555,20.1099,3.44416,10.5743,1.94,-0.120455,other
-8.32905,4.00935,1.97156,3.94007,19.3438,9.61055,-13.7468,20.0779,3.47851,10.8129,1.96,-0.137235,other
-9.88631,4.23081,2.18135,3.95084,19.3568,9.70944,-14.5015,20.0779,3.68533,11.0663,1.98,-0.130501,other
-9.88631,4.23081,2.17454,3.87782,19.3568,9.87499,-14.5015,20.0641,3.46236,11.1289,2,-0.090316,other
-6.45096,4.18307,1.90081,3.87782,17.7998,10.0369,-6.43106,18.2306,2.75911,10.8852,8,-0.0359727,other
-7.20183,5.80753,2.08834,3.8467,16.8004,10.204,-6.43106,18.2306,2.8073,11.1464,1.485,-0.016248,other
-7.20183,5.80753,2.02001,3.8467,19.122,9.49323,-10.7844,20.2199,2.75552,10.446,3,-0.0365062,other
